id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000cm23,2004-02-12 16:35:37.550000+00:00,1.9,mblg,25.0,28.127,-16.165,175.243,1966.261
usp000cmur,2004-02-23 01:17:42.650000+00:00,1.3,mblg,23.9,28.085,-16.23,170.781,3823.315
usp000cmwu,2004-02-23 21:26:35.030000+00:00,1.5,mblg,8.0,28.227,-16.294,159.859,2842.735
usp000cpyp,2004-03-14 20:10:38.830000+00:00,2.2,mblg,20.4,28.048,-16.138,180.69,1435.272
usp000cq6t,2004-03-17 22:47:54.770000+00:00,1.6,mblg,0.0,28.148,-16.153,175.643,2783.748
usp000cqgb,2004-03-21 01:02:47.490000+00:00,1.2,mblg,0.0,28.134,-16.145,176.866,4442.664
usp000cqpp,2004-03-23 15:05:20.310000+00:00,2.3,mblg,22.0,27.589,-17.969,114.434,810.132
usp000cqx8,2004-03-26 07:03:26.420000+00:00,1.8,mblg,28.2,28.637,-16.178,165.032,2077.634
usp000cr08,2004-03-27 07:05:14.790000+00:00,1.9,mblg,0.0,28.131,-16.162,175.383,1967.829
usp000cr54,2004-03-28 19:29:42.190000+00:00,1.5,mblg,0.0,28.148,-16.142,176.672,3141.728
usp000cs6g,2004-04-10 21:26:22.300000+00:00,1.9,mblg,25.3,27.913,-15.04,287.894,3230.218
usp000cshv,2004-04-15 08:22:58.920000+00:00,2.2,mblg,30.5,28.076,-16.167,176.931,1405.416
usp000ct27,2004-04-21 16:36:31.220000+00:00,1.8,mblg,29.0,28.071,-16.305,164.477,2070.64
usp000ct2d,2004-04-21 18:05:20.130000+00:00,2.2,mblg,9.5,28.304,-16.644,124.512,989.037
usp000ct35,2004-04-22 02:14:53.290000+00:00,1.5,mblg,12.0,28.302,-16.684,120.82,2148.511
usp000ct7r,2004-04-23 18:20:18.680000+00:00,1.7,mblg,0.0,28.051,-16.194,175.435,2478.087
usp000ctc1,2004-04-25 05:35:10.710000+00:00,1.8,mblg,0.0,28.204,-16.71,122.07,1536.768
usp000ctpq,2004-04-28 21:42:42.740000+00:00,1.9,mblg,32.0,27.717,-18.164,103.922,1166.026
usp000ctss,2004-04-30 00:34:02.750000+00:00,1.3,mblg,0.0,28.157,-16.196,171.317,3835.304
usp000ctsw,2004-04-30 01:14:27.860000+00:00,1.6,mblg,16.8,28.162,-16.253,165.821,2628.08
usp000ctu8,2004-04-30 10:46:01.860000+00:00,2.3,mblg,0.0,28.144,-16.14,176.994,1253.018
usp000cu1w,2004-05-03 02:53:02.400000+00:00,2.2,mblg,18.1,27.79,-18.089,94.176,748.07
usp000cu3w,2004-05-03 22:41:30.860000+00:00,2.1,mblg,36.5,27.685,-18.104,105.898,943.819
usp000cu4c,2004-05-04 03:24:29.490000+00:00,2.0,mblg,11.3,28.302,-16.68,121.195,1211.947
usp000cucx,2004-05-07 18:09:32.480000+00:00,2.0,mblg,0.0,27.936,-18.071,77.98,779.8
usp000cusg,2004-05-11 20:31:11.240000+00:00,3.0,mblg,2.7,28.344,-16.732,115.001,363.664
usp000cutj,2004-05-12 03:47:16.680000+00:00,1.5,mblg,15.8,28.134,-16.219,169.969,3022.527
usp000cuww,2004-05-13 06:01:15.210000+00:00,2.2,mblg,26.5,28.044,-16.159,178.923,1421.233
usp000cv97,2004-05-16 23:51:26.920000+00:00,1.0,mblg,13.1,28.255,-16.662,124.484,3936.533
usp000cvah,2004-05-17 07:31:16.060000+00:00,1.5,mblg,0.0,28.329,-16.692,119.224,2120.13
usp000cvaj,2004-05-17 07:32:50.850000+00:00,2.1,mblg,4.7,28.314,-16.726,116.493,1038.243
usp000cvcb,2004-05-17 20:17:31.610000+00:00,1.5,mblg,0.0,28.141,-16.136,177.469,3155.89
usp000cvh3,2004-05-19 01:43:31.030000+00:00,2.1,mblg,0.0,28.171,-16.119,178.085,1587.186
usp000cvnj,2004-05-20 09:32:14.140000+00:00,1.7,mblg,0.0,27.947,-18.064,76.621,1082.298
usp000cw20,2004-05-24 04:02:58.130000+00:00,2.6,mblg,14.1,28.081,-16.184,175.172,877.94
usp000cw62,2004-05-25 10:13:08.140000+00:00,1.8,mblg,0.0,28.111,-16.143,177.858,2239.094
usp000cwrt,2004-05-31 20:13:42.300000+00:00,1.9,mblg,6.7,28.09,-16.245,169.206,1898.527
usp000cx0t,2004-06-03 19:06:26.180000+00:00,1.7,mblg,0.0,28.173,-16.114,178.493,2521.281
usp000cyv7,2004-06-26 12:50:28.840000+00:00,3.8,m,58.8,29.085,-16.284,163.02,205.23
usp000cz69,2004-06-29 20:40:30.220000+00:00,1.3,mblg,29.5,28.006,-16.27,170.453,3815.962
usp000d098,2004-07-16 09:31:22.930000+00:00,3.4,mblg,17.3,28.092,-15.028,284.074,566.803
usp000d0eb,2004-07-18 14:36:35.160000+00:00,2.5,mblg,36.9,27.639,-15.424,263.177,1479.953
usp000d5hh,2004-10-01 15:18:00.080000+00:00,2.9,mblg,18.5,27.955,-15.204,271.1,961.901
usp000d8qe,2004-11-18 14:42:28.990000+00:00,2.5,mblg,0.0,29.534,-17.827,102.595,576.936
usp000dgk9,2005-02-20 12:43:13.200000+00:00,2.5,mblg,0.0,28.056,-16.242,170.843,960.722
usp000dgvv,2005-02-24 14:56:15.520000+00:00,2.6,mblg,31.9,28.151,-15.987,191.145,957.996
usp000dj5v,2005-03-14 05:03:39.580000+00:00,2.6,mblg,0.0,29.148,-14.476,335.819,1683.081
usp000dks8,2005-03-31 07:41:44.890000+00:00,4.3,m,7.8,32.098,-16.762,402.187,284.727
usp000dkux,2005-03-31 22:24:40.140000+00:00,2.8,m,28.4,28.192,-16.155,174.04,692.865
usp000dp3q,2005-04-24 04:18:21.330000+00:00,2.6,mblg,37.9,27.79,-15.011,294.75,1477.252
usp000dp7u,2005-04-25 21:14:35.130000+00:00,2.5,mblg,4.4,28.133,-16.195,172.238,968.565
usp000dq4w,2005-05-07 13:50:27.250000+00:00,2.5,mblg,15.3,28.079,-16.177,175.894,989.126
usp000drmz,2005-05-26 22:30:31.520000+00:00,4.4,m,30.0,32.28,-16.869,419.276,264.545
usp000ds34,2005-06-02 19:27:58.400000+00:00,3.8,m,0.0,31.194,-16.632,311.031,391.564
usp000dtue,2005-06-24 16:56:04.880000+00:00,2.7,mblg,23.1,28.055,-16.217,173.169,773.515
usp000du6m,2005-06-30 01:01:02.320000+00:00,2.8,m,68.4,28.996,-16.518,138.298,550.573
usp000dujk,2005-07-05 04:36:24.640000+00:00,4.5,m,0.0,31.926,-19.79,412.53,231.983
usp000dxu6,2005-08-22 07:05:03.040000+00:00,2.8,m,41.2,28.18,-16.224,167.93,668.543
usp000dyks,2005-09-02 15:14:10.620000+00:00,2.7,mblg,7.3,28.056,-16.248,170.296,760.682
usp000dz5a,2005-09-10 03:38:52.070000+00:00,3.2,m,26.7,32.711,-15.245,520.642,1307.795
usp000dzm2,2005-09-17 16:23:32.880000+00:00,2.8,mblg,21.3,28.03,-16.15,180.313,717.839
usp000e4pk,2005-11-22 05:20:54.990000+00:00,2.6,mblg,0.0,29.443,-14.676,324.01,1623.895
usp000e4q0,2005-11-22 11:32:22.630000+00:00,4.1,m,38.6,28.584,-16.708,113.299,100.977
usp000e5pu,2005-12-07 06:02:00.660000+00:00,3.9,m,77.5,29.458,-16.765,142.638,160.043
usp000e7wk,2006-01-09 03:49:08.500000+00:00,3.8,m,0.0,31.757,-16.912,361.835,455.524
usp000e7za,2006-01-10 12:00:20.780000+00:00,4.2,m,0.0,31.87,-16.782,377.265,299.672
usp000e82d,2006-01-11 23:09:56.600000+00:00,4.2,m,0.0,31.675,-16.88,353.838,281.064
usp000e82s,2006-01-12 04:12:13.530000+00:00,4.1,mb,10.0,32.044,-16.782,395.89,352.838
usp000eayc,2006-02-27 01:28:55.270000+00:00,2.5,mblg,7.4,27.939,-17.868,75.031,421.932
usp000ec7s,2006-03-15 17:03:42.950000+00:00,4.1,m,59.9,28.978,-16.76,115.358,102.813
usp000ed3d,2006-03-28 00:17:36.330000+00:00,3.4,m,52.1,29.096,-14.77,306.667,611.882
usp000eg0w,2006-05-02 01:27:55.290000+00:00,2.9,m,44.8,27.625,-15.626,245.95,872.665
usp000ehnj,2006-05-22 00:07:43.160000+00:00,4.0,mb,23.1,32.588,-13.326,620.41,620.41
usp000ej58,2006-05-28 09:50:47.430000+00:00,2.5,mblg,24.5,28.103,-16.246,168.613,948.178
usp000ejd3,2006-05-31 19:32:13.570000+00:00,2.7,m,41.6,28.617,-15.237,256.98,1147.885
usp000eknd,2006-06-17 21:31:44.190000+00:00,3.1,m,0.0,29.661,-14.94,307.544,866.778
usp000emvq,2006-07-04 03:07:30.390000+00:00,2.6,m,16.9,28.02,-16.26,170.735,855.701
usp000eqpt,2006-08-11 06:17:07.890000+00:00,3.8,m,0.0,32.939,-17.053,487.806,614.111
usp000eqx7,2006-08-14 12:47:58.790000+00:00,2.5,mblg,22.0,28.071,-16.946,108.528,610.297
usp000eucp,2006-10-02 23:45:18.170000+00:00,2.8,m,48.6,28.143,-16.134,177.589,706.993
usp000eud8,2006-10-03 04:52:51.230000+00:00,2.5,mblg,0.0,28.355,-14.614,319.544,1796.929
usp000evbh,2006-10-16 21:05:27.710000+00:00,2.5,m,72.3,28.629,-16.353,147.928,831.859
usp000ewg0,2006-11-02 12:05:20.890000+00:00,2.7,m,66.2,28.986,-16.327,155.834,696.083
usp000eynr,2006-11-23 22:15:20.390000+00:00,2.8,m,0.0,28.85,-14.422,337.275,1342.715
usp000f0rs,2006-12-22 00:30:51.850000+00:00,2.6,mblg,28.8,27.94,-15.046,286.493,1435.867
usp000f1ke,2007-01-02 21:32:16.930000+00:00,2.4,mblg,0.0,28.08,-16.268,167.491,1056.794
usp000f1sp,2007-01-06 01:41:34.270000+00:00,2.7,m,59.2,28.943,-16.294,157.787,704.807
usp000f9g3,2007-04-12 02:19:52.260000+00:00,3.3,m,55.0,27.897,-15.448,250.199,560.127
usp000fda4,2007-06-03 17:48:31.860000+00:00,3.1,mblg,25.2,28.05,-16.193,175.567,494.815
usp000feny,2007-06-23 20:00:52.870000+00:00,4.4,m,0.0,28.215,-21.073,317.021,200.026
usp000ffcb,2007-07-03 11:39:53.600000+00:00,4.1,m,47.3,30.778,-16.108,294.956,262.879
usp000fgfc,2007-07-17 18:28:48.700000+00:00,4.3,m,29.9,32.663,-13.451,618.025,437.528
usp000fhmx,2007-08-02 02:09:01.340000+00:00,2.6,mblg,32.0,27.924,-18.07,79.247,397.177
usp000fj22,2007-08-06 21:40:34.650000+00:00,3.1,m,69.8,30.185,-15.886,259.844,732.339
usp000fkqg,2007-08-26 09:16:53.970000+00:00,3.1,mblg,0.0,27.782,-20.448,269.601,759.838
usp000fnr5,2007-09-20 01:26:11.100000+00:00,2.6,mblg,22.8,28.103,-16.139,178.517,894.704
usp000fppf,2007-10-02 04:02:04.110000+00:00,2.6,mblg,0.0,29.532,-15.0,297.072,1488.888
usp000fpws,2007-10-05 02:19:40.350000+00:00,2.8,mblg,28.6,28.064,-16.155,178.5,710.622
usp000fpye,2007-10-05 17:31:59.140000+00:00,4.6,mb,26.1,27.548,-17.265,132.47,66.393
usp000fr9f,2007-10-26 06:30:58.120000+00:00,2.5,mblg,29.3,28.093,-16.143,178.511,1003.84
usp000frcm,2007-10-27 11:32:14.370000+00:00,2.9,mblg,0.0,28.094,-16.154,177.455,629.633
usp000fs55,2007-11-07 22:48:00.460000+00:00,2.7,mblg,23.2,28.115,-16.232,169.454,756.925
usp000fuw4,2007-12-20 11:02:48.330000+00:00,2.7,mblg,33.2,27.884,-15.481,247.618,1106.071
usp000fvdr,2007-12-27 18:05:34.370000+00:00,3.0,mblg,0.0,28.113,-16.167,175.555,555.154
usp000fw5r,2008-01-07 06:42:48.660000+00:00,2.7,mblg,31.7,28.08,-16.211,172.724,771.53
usp000fwt3,2008-01-15 23:15:58.520000+00:00,2.8,mblg,24.0,28.219,-16.391,150.995,601.122
usp000fy0y,2008-02-02 22:23:33.650000+00:00,3.8,m,1.7,33.029,-15.24,551.943,694.856
usp000g1hd,2008-03-15 05:09:53.660000+00:00,3.4,m,54.9,28.195,-15.309,254.729,508.252
usp000g35w,2008-04-05 19:00:38.020000+00:00,3.1,m,68.9,29.831,-15.01,308.871,870.515
usp000g6h7,2008-05-13 07:45:29.590000+00:00,3.5,mblg,30.3,28.437,-16.014,182.264,324.116
usp000g7s0,2008-05-25 16:37:28.870000+00:00,2.7,m,76.0,29.403,-15.907,210.076,938.376
usp000gats,2008-06-28 07:15:30.940000+00:00,3.2,m,41.0,28.025,-15.283,261.515,656.896
usp000gbvp,2008-07-11 02:07:52.190000+00:00,4.3,m,0.0,32.773,-13.823,603.433,427.198
usp000gcs6,2008-07-21 02:39:23.620000+00:00,4.1,m,0.0,32.411,-16.264,449.841,400.921
usp000gfby,2008-08-23 21:31:45.670000+00:00,4.1,m,0.0,28.448,-20.814,288.821,257.412
usp000gh62,2008-09-16 20:33:28.130000+00:00,2.6,mblg,0.0,27.551,-15.443,265.777,1332.04
usp000gr3r,2008-12-21 12:05:04.980000+00:00,4.2,mb,10.0,26.686,-14.315,410.663,326.202
usp000gz5z,2009-07-12 22:19:10.700000+00:00,4.4,m,10.0,28.021,-21.555,367.384,231.804
us2013ngb8,2013-03-27 15:07:56+00:00,4.6,mb,19.0,27.716,-18.263,107.16,53.707
usp000jzz9,2013-03-29 09:41:48.670000+00:00,4.1,mb,17.0,27.692,-18.249,109.176,97.303
usb000fvqw,2013-03-29 17:01:20.480000+00:00,4.7,mb,10.0,27.591,-18.283,120.889,53.999
usb000g5kk,2013-04-11 15:26:36.130000+00:00,4.1,mblg,18.8,27.73,-18.274,106.11,94.571
usc000lst3,2013-12-27 17:46:03.420000+00:00,5.4,mb,7.48,27.7975,-18.2868,99.697,19.892
usc000sv3q,2014-11-06 17:36:53.020000+00:00,3.9,ml,23.8,32.8741,-13.17,653.222,732.927
us2000j5kz,2019-01-18 06:36:50.660000+00:00,4.4,mb,10.0,28.2989,-15.9541,190.426,120.151
us70005lmr,2019-09-26 13:02:08.806000+00:00,4.8,mb,10.0,27.9754,-20.1771,237.316,94.477
us60008brw,2020-03-07 20:58:04.107000+00:00,5.3,mww,4.72,32.3998,-16.8207,433.305,97.005
us60008g09,2020-03-15 10:08:16.707000+00:00,3.8,ml,10.0,32.236,-16.8155,415.73,523.373
us7000fpu4,2021-10-26 16:25:33.055000+00:00,4.6,mb,10.0,28.4947,-17.8688,13.173,6.602
us7000ft4n,2021-11-11 03:37:55.185000+00:00,4.3,mb,35.0,28.5877,-17.9297,6.768,4.791
us7000fv4s,2021-11-13 06:55:57.402000+00:00,4.2,mb,10.0,28.6606,-17.8628,5.311,4.218
us7000fvbu,2021-11-19 01:08:43.667000+00:00,4.2,mb,35.0,28.558,-17.8204,7.618,6.051
us7000fxa4,2021-11-23 01:03:24.298000+00:00,4.6,mb,10.0,28.696,-17.6878,19.771,9.909
us7000gfav,2022-01-18 13:45:15.259000+00:00,4.6,mb,10.0,26.7104,-14.3502,406.253,203.609
us7000gl7h,2022-02-16 04:32:38.527000+00:00,4.9,mb,11.68,32.3503,-16.9067,426.095,151.184
us7000h10z,2022-04-09 09:45:25.670000+00:00,4.4,mb,16.8,32.5125,-16.7904,446.168,281.513
